Year,Month,Day,Hour,Minute,Second,Latitude,Londitude,Height(m),sigma ,Flash No.
2013,7,4,0,0,13.5424968,34.61682,135.02734,10712,7.94E-01,1
2013,7,4,0,0,13.5434469,34.66654,135.01408,2247,1.28E-01,1
2013,7,4,0,0,13.6323787,34.57282,134.88111,2834,3.98E-01,1
2013,7,4,0,0,24.0633076,33.456,133.59815,13471,3.93E+00,2
2013,7,4,0,0,24.0755642,33.41331,133.54934,9654,4.82E-01,2
2013,7,4,0,0,27.189788,34.38673,132.5133,13023,2.36E-02,3
2013,7,4,0,0,27.2116725,34.36396,132.41679,8296,2.64E-02,3
2013,7,4,0,1,32.5305566,33.96494,137.78189,9637,1.76E-02,4
2013,7,4,0,1,32.5306765,33.89423,137.95909,14828,3.36E-03,4
2013,7,4,0,1,32.5320705,33.84611,138.10556,6957,1.17E-01,4
2013,7,4,0,1,32.5328193,34.05657,137.53192,15270,3.20E+00,5
2013,7,4,0,1,32.5336124,33.9708,137.79183,14278,7.99E-01,4
2013,7,4,0,1,32.5340977,34.13214,137.22902,8195,5.71E-01,6
2013,7,4,0,1,32.5341076,34.08563,137.39882,13921,8.00E-02,5
2013,7,4,0,1,32.5353008,34.00976,137.55819,11468,1.58E+00,5
2013,7,4,0,1,32.5355361,34.18042,137.06083,11614,4.48E+00,6
2013,7,4,0,1,32.5364451,34.10044,137.36907,13657,5.44E-01,5
2013,7,4,0,1,32.5391544,34.00741,137.68618,5744,5.50E-02,4
2013,7,4,0,1,32.5424,33.85134,138.11388,15084,3.23E-02,4
2013,7,4,0,1,32.5448034,34.17068,137.11554,5427,1.92E+00,6
2013,7,4,0,1,33.4718122,33.01249,136.30361,14473,1.57E-01,7
2013,7,4,0,1,33.4737629,33.00473,136.30843,8111,5.05E-01,7